1 _ 1,,,,,,
時間,ストローク,試験力,ストローク,試験力,ストローク,試験力
sec,mm,kN,mm,kN,mm,kN
32,0.5327917,2.091678,1.065521,4.526687,0.5327917,2.783608
32.2,0.5361041,2.096844,1.07225,4.541794,0.536125,2.791365
32.4,0.5394375,2.102669,1.078917,4.553739,0.5394375,2.798343
32.6,0.5427917,2.109154,1.0855,4.563586,0.5427708,2.805464
32.8,0.546125,2.114876,1.092271,4.578876,0.546125,2.813705
33,0.5494583,2.120106,1.098917,4.589796,0.5494583,2.822288
33.2,0.5527917,2.125915,1.105521,4.600509,0.5527917,2.829289
33.4,0.5561042,2.131073,1.11225,4.613932,0.556125,2.836363
33.6,0.5594167,2.136564,1.118937,4.626521,0.5594375,2.843754
33.8,0.5627916,2.143065,1.1255,4.637074,0.5627708,2.850699
34,0.5661458,2.148962,1.13225,4.650084,0.566125,2.858949
34.2,0.5694583,2.153651,1.138896,4.662839,0.5694792,2.866681
34.4,0.5727916,2.159254,1.145542,4.674586,0.5727916,2.873635
34.6,0.576125,2.164396,1.15225,4.686189,0.5761458,2.880875
34.8,0.5794375,2.169665,1.158917,4.698976,0.5794584,2.888314
35,0.5827917,2.175276,1.165563,4.710349,0.5827708,2.894815
35.2,0.5861458,2.180966,1.172208,4.719798,0.5861042,2.902118
35.4,0.5894791,2.186362,1.178896,4.734667,0.5894583,2.910527
35.6,0.5927917,2.191838,1.185542,4.745468,0.5927917,2.917751
35.8,0.596125,2.197425,1.192229,4.75595,0.596125,2.92449
36,0.5994167,2.202638,1.198917,4.77043,0.5994583,2.931881
36.2,0.6027708,2.208392,1.205583,4.781953,0.60275,2.938883
36.4,0.6061458,2.214615,1.212208,4.791196,0.6061041,2.945821
36.6,0.6094583,2.219876,1.218938,4.806813,0.6094583,2.953903
36.8,0.6127917,2.224708,1.225604,4.816651,0.6127917,2.961429
37,0.616125,2.230104,1.232208,4.827118,0.616125,2.968192
37.2,0.6194375,2.235429,1.238937,4.840954,0.6194583,2.975011
37.4,0.6227708,2.240618,1.245604,4.851922,0.6227708,2.981591
37.6,0.626125,2.246857,1.252167,4.861537,0.6261042,2.988466
37.8,0.6294792,2.252134,1.258937,4.876494,0.6294583,2.996397
38,0.6327916,2.256918,1.265583,4.886723,0.6328125,3.003661
38.2,0.636125,2.262092,1.272187,4.898047,0.6361458,3.010495
38.4,0.6394375,2.267329,1.278937,4.911057,0.6394792,3.017394
38.6,0.64275,2.272185,1.285583,4.922644,0.6427917,3.024292
38.8,0.646125,2.278439,1.292187,4.933127,0.6460834,3.030491
39,0.6494583,2.283835,1.298917,4.945111,0.6494583,3.038089
39.2,0.6527917,2.288961,1.305583,4.957914,0.6528125,3.045614
39.4,0.656125,2.294119,1.312187,4.968294,0.656125,3.052529
39.6,0.6594375,2.29884,1.318896,4.979619,0.6594583,3.059006
39.8,0.66275,2.303831,1.325583,4.992851,0.6627917,3.065848
40,0.6661041,2.309704,1.332208,5.003691,0.6660833,3.071968
40.2,0.6694583,2.315211,1.338896,5.01461,0.6694375,3.079097
40.4,0.6727917,2.320568,1.345604,5.028192,0.6727917,3.087091
40.6,0.676125,2.32528,1.35225,5.03912,0.676125,3.094061
40.8,0.6794583,2.330852,1.358896,5.048776,0.6794583,3.100753
41,0.6827708,2.33504,1.365583,5.062755,0.6827917,3.107564
41.2,0.686125,2.340841,1.372229,5.072466,0.6861042,3.113755
41.4,0.6894583,2.346444,1.378854,5.081622,0.6894375,3.120788
41.6,0.6928125,2.351046,1.385604,5.09735,0.6927916,3.128115
41.8,0.696125,2.356482,1.392229,5.107172,0.6961458,3.1353
42,0.6994583,2.361425,1.398854,5.117003,0.6994792,3.141189
42.2,0.7027708,2.365549,1.405604,5.13111,0.7028125,3.148341
42.4,0.7060833,2.371025,1.41225,5.141958,0.7061042,3.154318
42.6,0.7094584,2.376676,1.418833,5.150795,0.7094167,3.160389
42.8,0.7128125,2.381746,1.425583,5.165458,0.7127917,3.168019
43,0.716125,2.386379,1.43225,5.176425,0.7161458,3.175211
43.2,0.7194583,2.391195,1.438854,5.185596,0.7194583,3.181688
43.4,0.7227708,2.395956,1.445583,5.199584,0.7227917,3.188236
43.6,0.7260833,2.40039,1.45225,5.211234,0.7261041,3.194769
43.8,0.7294583,2.406629,1.458854,5.220667,0.7294167,3.200777
44,0.7327917,2.411803,1.465604,5.233089,0.7327917,3.208192
44.2,0.736125,2.416293,1.47225,5.24466,0.7361459,3.215082
44.4,0.7394583,2.420878,1.478896,5.255946,0.7394583,3.221393
44.6,0.7427709,2.425718,1.485583,5.266603,0.7427917,3.227862
44.8,0.7460833,2.430479,1.49225,5.279104,0.746125,3.234474
45,0.7494583,2.435923,1.498875,5.289205,0.7494166,3.240268
45.2,0.7528125,2.4412,1.505562,5.299815,0.7527708,3.247094
