"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"64.6","3.834955","1.076146"
"64.8","3.840693","1.079458"
"65","3.845509","1.082771"
"65.2","3.851056","1.086104"
"65.4","3.857652","1.089458"
"65.6","3.863303","1.092792"
"65.8","3.868365","1.096125"
"66","3.874143","1.099458"
"66.2","3.879595","1.102771"
"66.4","3.884975","1.106104"
"66.6","3.891365","1.109458"
"66.8","3.897166","1.112813"
"67","3.902109","1.116125"
"67.2","3.908102","1.119458"
"67.4","3.912902","1.122771"
"67.6","3.917901","1.126104"
"67.8","3.923853","1.129458"
"68","3.930394","1.132813"
"68.2","3.935305","1.136146"
"68.4","3.940527","1.139479"
"68.6","3.945796","1.142792"
"68.8","3.950842","1.146104"
"69","3.956874","1.149438"
"69.2","3.962636","1.152812"
"69.4","3.967961","1.156146"
"69.6","3.973563","1.159479"
"69.8","3.978411","1.162792"
"70","3.983045","1.166083"
"70.2","3.988822","1.169438"
"70.4","3.995125","1.172812"
"70.6","4.000481","1.176146"
"70.8","4.005631","1.179458"
"71","4.011091","1.182792"
"71.2","4.015756","1.186104"
"71.4","4.021327","1.189438"
"71.6","4.026946","1.192792"
"71.8","4.032794","1.196125"
"72","4.037571","1.199458"
"72.2","4.043118","1.202812"
"72.4","4.047894","1.206104"
"72.6","4.052719","1.209417"
"72.8","4.058393","1.212792"
"73","4.064449","1.216125"
"73.2","4.069177","1.219458"
"73.4","4.074264","1.222792"
"73.6","4.079119","1.226104"
"73.8","4.084054","1.229417"
"74","4.089832","1.232771"
"74.2","4.095992","1.236125"
"74.4","4.100688","1.239458"
"74.6","4.105926","1.242792"
"74.8","4.111537","1.246125"
"75","4.11586","1.249437"
"75.2","4.121208","1.252771"
"75.4","4.127423","1.256146"
"75.6","4.132573","1.259458"
"75.8","4.137126","1.262792"
"76","4.142443","1.266125"
"76.2","4.147395","1.269437"
"76.4","4.152584","1.272771"
"76.6","4.158536","1.276146"
"76.8","4.163671","1.279479"
"77","4.168455","1.282792"
"77.2","4.173541","1.286125"
"77.4","4.178198","1.289438"
"77.6","4.182824","1.29275"
"77.8","4.188681","1.296125"
"78","4.194506","1.299479"
"78.2","4.199036","1.302792"
"78.4","4.203852","1.306125"
"78.6","4.209026","1.309438"
"78.8","4.213715","1.312771"
"79","4.219007","1.316125"
"79.2","4.22469","1.319479"
"79.4","4.229967","1.322792"
