"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"62.6","6.234169","2.0855"
"62.8","6.248498","2.092292"
"63","6.256954","2.098917"
"63.2","6.2663","2.105521"
"63.4","6.277498","2.11225"
"63.6","6.287956","2.118917"
"63.8","6.295673","2.1255"
"64","6.307713","2.132271"
"64.2","6.318045","2.138896"
"64.4","6.327733","2.145542"
"64.6","6.33769","2.15225"
"64.8","6.349222","2.158937"
"65","6.358806","2.165542"
"65.2","6.366412","2.172229"
"65.4","6.379724","2.178917"
"65.6","6.389022","2.185542"
"65.8","6.397406","2.192208"
"66","6.410734","2.198917"
"66.2","6.420732","2.205583"
"66.4","6.42786","2.212188"
"66.6","6.441792","2.218958"
"66.8","6.45028","2.225604"
"67","6.458465","2.232208"
"67.2","6.470323","2.238937"
"67.4","6.479899","2.245604"
"67.6","6.487409","2.252167"
"67.8","6.500515","2.258917"
"68","6.51017","2.265583"
"68.2","6.519318","2.272208"
"68.4","6.531477","2.278938"
"68.6","6.540187","2.285583"
"68.8","6.549478","2.292167"
"69","6.559491","2.298917"
"69.2","6.570736","2.305562"
"69.4","6.579479","2.312167"
"69.6","6.589977","2.318896"
"69.8","6.601071","2.325562"
"70","6.61087","2.332208"
"70.2","6.618746","2.338896"
"70.4","6.631359","2.345583"
"70.6","6.640577","2.35225"
"70.8","6.648501","2.358875"
"71","6.660613","2.365604"
"71.2","6.669577","2.372229"
"71.4","6.676674","2.378833"
"71.6","6.690637","2.385583"
"71.8","6.698688","2.392229"
"72","6.707517","2.398875"
"72.2","6.719828","2.405604"
"72.4","6.728578","2.41225"
"72.6","6.736454","2.418813"
"72.8","6.750099","2.425604"
"73","6.758467","2.432229"
"73.2","6.76674","2.438854"
"73.4","6.779472","2.445604"
"73.6","6.788596","2.45225"
"73.8","6.796932","2.458833"
"74","6.807661","2.465604"
"74.2","6.8175","2.47225"
"74.4","6.826639","2.478875"
"74.6","6.835262","2.485583"
"74.8","6.847072","2.492271"
"75","6.855663","2.498875"
"75.2","6.864023","2.505563"
"75.4","6.876262","2.51225"
"75.6","6.885242","2.518896"
"75.8","6.893722","2.525563"
"76","6.905571","2.532271"
"76.2","6.914449","2.538917"
"76.4","6.920513","2.5455"
"76.6","6.93477","2.552271"
"76.8","6.942773","2.558896"
"77","6.951626","2.5655"
"77.2","6.963531","2.57225"
"77.4","6.97225","2.578917"
"77.6","6.979831","2.585521"
"77.8","6.992515","2.592292"
"78","7.000709","2.598917"
"78.2","7.008958","2.605521"
"78.4","7.019567","2.61225"
"78.6","7.028969","2.618917"
"78.8","7.036837","2.6255"
"79","7.047764","2.63225"
"79.2","7.057762","2.638896"
"79.4","7.066759","2.645542"
"79.6","7.075731","2.65225"
"79.8","7.086134","2.658917"
"80","7.095019","2.665542"
"80.2","7.102585","2.672229"
"80.4","7.114474","2.678896"
"80.6","7.122874","2.685542"
"80.8","7.130941","2.692208"
"81","7.143458","2.698917"
"81.2","7.151643","2.705583"
"81.4","7.159066","2.712188"
"81.6","7.172155","2.718937"
"81.8","7.179944","2.725604"
"82","7.187867","2.732208"
"82.2","7.199296","2.738958"
"82.4","7.208117","2.745604"
"82.6","7.214769","2.752167"
"82.8","7.227024","2.758937"
"83","7.23575","2.765563"
"83.2","7.243729","2.772187"
"83.4","7.254449","2.778938"
"83.6","7.264248","2.785604"
"83.8","7.271925","2.792167"
"84","7.281438","2.798917"
"84.2","7.29212","2.805562"
"84.4","7.299987","2.812167"
"84.6","7.309357","2.818896"
"84.8","7.319903","2.825562"
"85","7.328907","2.832229"
"85.2","7.336847","2.838896"
"85.4","7.348362","2.845604"
"85.6","7.356715","2.85225"
"85.8","7.364257","2.858896"
"86","7.375654","2.865583"
"86.2","7.383895","2.87225"
"86.4","7.389927","2.878833"
"86.6","7.403517","2.885583"
"86.8","7.410955","2.89225"
"87","7.418974","2.898854"
"87.2","7.43018","2.905604"
"87.4","7.438866","2.91225"
"87.6","7.445137","2.918813"
"87.8","7.458083","2.925604"
"88","7.466086","2.93225"
"88.2","7.474065","2.938833"
"88.4","7.485024","2.945604"
"88.6","7.494251","2.95225"
"88.8","7.501841","2.958854"
"89","7.511679","2.965604"
"89.2","7.521287","2.97225"
"89.4","7.530117","2.978896"
"89.6","7.538676","2.985583"
"89.8","7.548682","2.99225"
"90","7.55655","2.998875"
"90.2","7.564545","3.005563"
"90.4","7.575528","3.012229"
"90.6","7.583602","3.018896"
"90.8","7.591113","3.025563"
"91","7.602692","3.03225"
"91.2","7.610711","3.038896"
"91.4","7.616457","3.045521"
"91.6","7.629633","3.05225"
"91.8","7.637","3.058896"
"92","7.644685","3.0655"
