"1 _ 1",,
"時間","試験力","ストローク"
"sec","N","mm"
"400","25810.85","6.666146"
"401","25812.54","6.682792"
"402","25813.03","6.699417"
"403","25814.41","6.716104"
"404","25816.27","6.732791"
"405","25818.4","6.749479"
"406","25819.55","6.766146"
"407","25819.01","6.78275"
"408","25820.28","6.799438"
"409","25821.41","6.816125"
"410","25821.07","6.832792"
"411","25821.85","6.849479"
"412","25822.55","6.866104"
"413","25822.86","6.882771"
"414","25823.06","6.899458"
"415","25823.51","6.916146"
"416","25823.79","6.932792"
"417","25824.13","6.949417"
"418","25824.7","6.966125"
"419","25825.06","6.982812"
"420","25825.08","6.999458"
"421","25824.56","7.016125"
"422","25823.95","7.032771"
"423","25823.89","7.049438"
"424","25818.01","7.066125"
"425","25823.06","7.082812"
"426","25822.27","7.099479"
"427","25820.18","7.116104"
"428","25819.45","7.132771"
"429","25818.37","7.149458"
"430","25817.45","7.166146"
"431","25816","7.182792"
"432","25813.71","7.199417"
"433","25812.91","7.216104"
"434","25811.18","7.232791"
"435","25810.22","7.249479"
"436","25807.95","7.266125"
"437","25805.03","7.282771"
"438","25803.53","7.299438"
"439","25801.87","7.316125"
"440","25799.73","7.332792"
"441","25797.85","7.349479"
"442","25793.83","7.366104"
"443","25791.38","7.382792"
"444","25788.62","7.399458"
"445","25786.58","7.416146"
"446","25783.92","7.432792"
"447","25780.38","7.449417"
"448","25777.52","7.466125"
"449","25774.57","7.482812"
"450","25771.01","7.499479"
"451","25767.93","7.516125"
"452","25762.7","7.532771"
"453","25759.4","7.549458"
"454","25755.73","7.566125"
"455","25752.16","7.582812"
"456","25747.87","7.599479"
"457","25742.18","7.616104"
"458","25738.03","7.632771"
"459","25733.2","7.649458"
"460","25729.02","7.666146"
"461","25723.74","7.682792"
"462","25717.76","7.699417"
"463","25712.92","7.716104"
"464","25707.52","7.732791"
"465","25702.28","7.749479"
"466","25696.07","7.766125"
"467","25688.7","7.782771"
"468","25682.85","7.799438"
"469","25676.47","7.816125"
"470","25670.38","7.832792"
"471","25663.3","7.849479"
"472","25654.7","7.866104"
"473","25647.93","7.882771"
"474","25640.88","7.899458"
"475","25633.65","7.916146"
"476","25625.47","7.932792"
"477","25616.03","7.949417"
"478","25608.14","7.966104"
"479","25599.87","7.982791"
"480","25591.14","7.999479"
"481","25581.94","8.016125"
"482","25572.01","8.032771"
"483","25562.51","8.049438"
"484","25553.08","8.066125"
"485","25543.5","8.082812"
"486","25532.92","8.099479"
"487","25520.7","8.116083"
"488","25509.98","8.132771"
"489","25498.78","8.149458"
"490","25487.95","8.166145"
"491","25475.85","8.182792"
"492","25462.48","8.199416"
"493","25450.16","8.216105"
"494","25437.57","8.232792"
"495","25424.41","8.249479"
"496","25410.94","8.266125"
"497","25395.98","8.282771"
"498","25382.29","8.299459"
"499","25368.2","8.316125"
"500","25353.9","8.332812"
"501","25339.37","8.349459"
"502","25322.18","8.366104"
"503","25306.41","8.382792"
"504","25290.47","8.399458"
"505","25274.56","8.416145"
"506","25258.22","8.432792"
"507","25240.13","8.449416"
"508","25222.97","8.466105"
"509","25205.58","8.482792"
"510","25187.68","8.499458"
"511","25169.05","8.516125"
"512","25149.5","8.532771"
"513","25130.71","8.549438"
"514","25110.86","8.566125"
"515","25092.54","8.582791"
"516","25072.33","8.599479"
"517","25050.51","8.616104"
"518","25030.07","8.632771"
"519","25009.29","8.649458"
"520","24988.4","8.666145"
"521","24965.6","8.682792"
"522","24942.53","8.699416"
"523","24920.25","8.716125"
"524","24896.91","8.732792"
"525","24874.21","8.749479"
"526","24850.3","8.766125"
"527","24825.55","8.78275"
"528","24801.58","8.799438"
"529","24777.23","8.816125"
"530","24752.86","8.832791"
"531","24727.82","8.849479"
"532","24700.76","8.866104"
"533","24674.8","8.882792"
"534","24648.15","8.899458"
"535","24622.22","8.916145"
"536","24595.01","8.932792"
"537","24566.13","8.949416"
"538","24538.61","8.966105"
"539","24511.19","8.982792"
"540","24482.12","8.999479"
"541","24453.31","9.016125"
"542","24422.77","9.032771"
"543","24393.29","9.049459"
"544","24363.17","9.066125"
"545","24332.87","9.082791"
"546","24301.63","9.099479"
"547","24268.96","9.116104"
"548","24237.67","9.132792"
"549","24205.21","9.149458"
"550","24173.54","9.166145"
"551","24140.36","9.182813"
"552","24105.8","9.199416"
"553","24071.93","9.216125"
"554","24038.08","9.232792"
"555","24003.53","9.249479"
"556","23968.55","9.266146"
"557","23931.87","9.282771"
"558","23896.59","9.299438"
"559","23860.55","9.316125"
"560","23824.23","9.332791"
"561","23787.31","9.349479"
"562","23748.49","9.366104"
"563","23710.26","9.382771"
"564","23672.18","9.399458"
"565","23633.51","9.416145"
"566","23594.35","9.432792"
"567","23553.56","9.449416"
"568","23513.55","9.466105"
"569","23472.51","9.482812"
"570","23431.53","9.499458"
"571","23389.85","9.516146"
"572","23346.45","9.532771"
"573","23304","9.549438"
"574","23261.47","9.566125"
"575","23218.33","9.582791"
"576","23173.87","9.599479"
"577","23127.28","9.616104"
"578","23082.26","9.632771"
"579","23036.67","9.649458"
"580","22990.72","9.666145"
"581","22943.54","9.682792"
"582","22895.92","9.699416"
"583","22847.59","9.716125"
"584","22799.54","9.732792"
"585","22751.12","9.749458"
"586","22701.12","9.766125"
"587","22649.4","9.782771"
"588","22599.69","9.799438"
"589","22548.49","9.816125"
"590","22497.09","9.832791"
"591","22445.1","9.849479"
"592","22389.93","9.866104"
"593","22335.9","9.882792"
"594","22281.77","9.899458"
"595","22227.76","9.916125"
"596","22171.71","9.932792"
"597","22113.95","9.949416"
"598","22057.44","9.966105"
"599","21999.87","9.982812"
"600","21941.28","9.999479"
"601","21881.86","10.01612"
"602","21820.39","10.03277"
"603","21759.74","10.04944"
"604","21697.82","10.06612"
"605","21636.03","10.08281"
"606","21573.66","10.09948"
"607","21507.08","10.1161"
"608","21441.45","10.13277"
"609","21375.18","10.14946"
"610","21308.25","10.16615"
"611","21239.25","10.18279"
"612","21168.35","10.19942"
"613","21097.05","10.21612"
"614","21024.25","10.23279"
"615","20949.94","10.24948"
"616","20873.59","10.26615"
"617","20793.48","10.28277"
"618","20711.17","10.29946"
"619","20622.99","10.31612"
"620","20493.03","10.33279"
"620.4","-570.3052","10.3384"
