, kp = 27.000000  ti = 0.000000  td = 0.000000
Time , RPM
10.202,2065
10.212,2095
10.222,2065
10.232,2003
10.242,2065
10.252,2063
10.262,2095
10.272,2095
10.282,2096
10.292,2065
10.302,2063
10.312,2095
10.322,2095
10.332,2063
10.342,2095
10.352,2065
10.362,2063
10.372,2095
10.382,2065
10.392,2063
10.402,2095
10.413,2066
10.423,2095
10.433,2093
10.443,2065
10.453,2035
10.463,2093
10.473,2065
10.483,2095
10.493,2094
10.503,2065
10.513,2095
10.523,2065
10.533,2063
10.543,2095
10.553,2066
10.563,2035
10.573,2065
10.583,2035
10.593,2063
10.603,2095
10.613,2095
10.623,2095
10.633,2095
10.643,2065
10.653,2095
10.663,2095
10.673,2065
10.683,2063
10.693,2095
10.703,2065
10.713,2095
10.723,2095
10.733,2065
10.743,2095
10.753,2066
10.763,2095
10.773,2065
10.783,2063
10.793,2095
10.803,2066
10.813,2095
10.823,2065
10.833,2095
10.843,2095
10.853,2095
10.863,2093
10.874,2125
10.884,2125
10.894,2125
10.904,2156
10.914,2125
10.924,2155
10.934,2125
10.944,2123
10.954,2155
10.964,2152
10.974,2155
10.984,2155
10.994,2155
11.004,2155
11.014,2155
11.024,2155
11.034,2183
11.044,2155
11.054,2155
11.064,2155
11.074,2185
11.084,2155
11.094,2155
11.104,2155
11.114,2156
11.124,2185
11.134,2155
11.144,2155
11.154,2156
11.164,2185
11.174,2155
11.184,2155
11.194,2185
11.204,2152
11.214,2155
11.224,2155
11.234,2155
11.244,2153
11.254,2155
11.264,2155
11.274,2184
11.284,2155
11.294,2155
11.304,2185
11.314,2155
11.324,2155
11.334,2155
11.345,2155
11.355,2153
11.365,2155
11.375,2155
11.385,2184
11.395,2155
11.405,2155
11.415,2155
11.425,2153
11.435,2155
11.445,2155
11.455,2185
11.465,2155
11.475,2155
11.485,2155
11.495,2155
11.505,2153
11.515,2155
11.525,2184
11.535,2155
11.545,2155
11.555,2155
11.565,2185
11.575,2155
11.585,2155
11.595,2155
11.605,2155
11.615,2153
11.625,2155
11.635,2185
11.645,2155
11.655,2155
11.665,2155
11.675,2183
11.685,2155
11.695,2155
11.705,2155
11.715,2155
11.725,2185
11.735,2155
11.745,2155
11.755,2155
11.765,2152
11.775,2155
11.785,2155
11.795,2185
11.806,2153
11.816,2155
11.826,2155
11.836,2185
11.846,2155
11.856,2155
11.866,2155
11.876,2152
11.886,2155
11.896,2155
11.906,2185
11.916,2155
11.926,2155
11.936,2155
11.946,2153
11.956,2155
11.966,2185
11.976,2155
11.986,2155
11.996,2156
12.006,2185
12.016,2155
12.026,2183
12.036,2155
12.046,2155
12.056,2156
12.066,2183
12.076,2155
12.086,2155
12.096,2155
12.106,2185
12.116,2155
12.126,2155
12.136,2184
12.146,2155
12.156,2155
12.166,2155
12.176,2155
12.186,2153
12.196,2155
12.206,2155
12.216,2185
12.226,2155
12.236,2155
12.246,2153
12.256,2155
12.267,2155
12.277,2185
12.287,2155
12.297,2155
12.307,2153
12.317,2155
12.327,2155
12.337,2185
12.347,2155
12.357,2155
12.367,2153
12.377,2155
12.387,2155
12.397,2185
12.407,2155
12.417,2183
12.427,2155
12.437,2155
12.447,2156
12.457,2183
12.467,2155
12.477,2155
12.487,2155
12.497,2185
12.507,2155
12.517,2155
12.527,2185
12.537,2153
12.547,2155
12.557,2155
12.567,2155
12.577,2153
12.587,2155
12.597,2155
12.607,2185
12.617,2155
12.627,2155
12.637,2185
12.647,2155
12.657,2155
12.667,2155
12.677,2183
12.687,2155
12.697,2155
12.707,2156
12.718,2183
12.728,2155
12.738,2155
12.748,2183
12.758,2155
12.768,2155
12.778,2155
12.788,2185
12.798,2155
12.808,2155
12.818,2156
12.828,2183
12.838,2155
12.848,2155
12.858,2185
12.868,2155
12.878,2155
12.888,2155
12.898,2184
12.908,2155
12.918,2155
12.928,2155
12.938,2155
12.948,2153
12.958,2155
12.968,2185
12.978,2155
12.988,2155
12.998,2155
13.008,2185
13.018,2155
13.028,2155
13.038,2155
13.048,2153
13.058,2155
13.068,2185
13.078,2155
13.088,2155
13.098,2155
13.108,2153
